,0,1,2,3,4,5,6,7,8,Actual Outcome,prob_0,prob_1,Decile
2525,30,38,5,1,3,2,2,1000,2,1,0.007678543,0.992321457,1
2945,29,35,3,1,2,8,2,3000,2,1,0.008674089,0.991325911,1
2214,27,38,6,1,4,4,2,1000,10,1,0.01535285,0.98464715,1
3379,27,30,2,2,4,4,3,0.01,5,1,0.015821543,0.984178457,1
2541,25,29,1,2,1,5,0,6000,2,1,0.020140763,0.979859237,1
1387,24,28,3,1,2,13,3,0.01,4,1,0.020830857,0.979169143,1
2907,26,39,4,1,1,3,3,0.01,5,1,0.021779592,0.978220408,1
1744,25,38,3,1,1,5,2,2000,4,1,0.025756861,0.974243139,1
3348,22,32,6,1,1,12,2,100.01,8,1,0.035077749,0.964922251,1
1927,22,35,6,1,0,0,2,935,1,1,0.041235139,0.958764861,1
717,24,46,6,1,1,5,2,2000,4,1,0.047584617,0.952415383,1
3467,21,32,6,1,4,4,3,0.01,4,1,0.05167068,0.94832932,1
2425,20,36,3,0,1,3,2,75.01,8,1,0.054347404,0.945652596,1
852,23,36,3,2,4,4,3,0.01,5,1,0.056198091,0.943801909,1
2354,20,30,3,1,2,8,2,600,4,1,0.056251761,0.943748239,1
1689,21,33,0,1,4,4,3,0.01,7,1,0.06010236,0.93989764,1
3265,18,24,6,1,4,4,2,1460,5,1,0.064206526,0.935793474,1
1811,21,33,3,2,4,4,0,6000,9,1,0.064315448,0.935684552,1
3392,21,36,1,1,4,4,0,18000,5,1,0.065909754,0.934090246,1
2562,22,35,2,2,4,4,3,0.01,8,1,0.067292556,0.932707444,1
198,21,36,3,1,5,10,0,20000,1,1,0.068566578,0.931433422,1
2946,22,39,6,2,1,5,3,0.01,7,1,0.071850196,0.928149804,1
3423,22,39,6,2,1,12,3,0.01,5,1,0.073872216,0.926127784,1
20,22,43,0,1,1,12,3,0.01,9,1,0.07510598,0.92489402,1
2696,23,50,5,1,4,9,0,6000,3,1,0.075201557,0.924798443,1
1771,20,38,5,1,1,5,0,7500,1,1,0.075419857,0.924580143,1
2718,17,22,3,1,2,13,2,2000,1,0,0.077025805,0.922974195,1
2189,19,31,4,1,2,8,3,0.01,5,1,0.077256276,0.922743724,1
3551,18,31,6,1,1,5,0,6000,2,1,0.079914648,0.920085352,1
3161,24,54,3,1,3,7,2,3000,7,1,0.080335614,0.919664386,1
3623,21,41,6,1,4,4,3,0.01,4,1,0.082946607,0.917053393,1
2902,20,36,6,1,5,10,3,0.01,5,1,0.082998631,0.917001369,1
1498,20,36,1,1,4,9,2,420,4,1,0.084271481,0.915728519,1
3081,19,32,0,1,3,2,3,0.01,4,1,0.0893827,0.9106173,1
422,20,39,3,1,3,2,2,3750,6,1,0.092009188,0.907990812,1
2578,19,38,6,1,5,10,3,0.01,9,1,0.112159942,0.887840058,1
3498,17,31,6,1,1,5,3,0.01,6,1,0.112407454,0.887592546,1
1167,18,37,3,1,1,5,2,50.01,8,1,0.119700521,0.880299479,1
3602,19,39,1,1,4,4,0,16517.6,3,1,0.120884854,0.879115146,1
970,18,41,4,0,4,4,3,0.01,8,1,0.124663187,0.875336813,1
3168,20,48,6,1,4,9,0,6053.35,6,1,0.128015784,0.871984216,1
3200,17,35,6,1,2,6,2,1000,4,1,0.134941268,0.865058732,1
3816,18,37,6,1,5,10,3,0.01,5,1,0.135888854,0.864111146,1
723,16,30,6,1,2,8,3,0.01,5,1,0.13778747,0.86221253,1
2846,15,27,4,1,4,4,0,6053.35,6,1,0.138092366,0.861907634,1
1193,13,18,3,1,4,9,0,6000,1,0,0.144804321,0.855195679,1
897,18,33,3,2,4,4,3,0.01,7,1,0.146371099,0.853628901,1
1365,17,37,3,1,1,5,2,1020,5,1,0.151966639,0.848033361,1
977,16,31,5,1,4,4,3,0.01,5,1,0.152907402,0.847092598,1
2243,15,29,6,1,1,5,3,0.01,5,1,0.157613498,0.842386502,1
3710,18,44,3,1,1,3,0,6000,3,0,0.159659486,0.840340514,1
3070,16,31,3,1,4,9,3,0.01,5,1,0.159906242,0.840093758,1
2682,20,52,3,1,0,0,2,2000,1,1,0.164856957,0.835143043,1
412,18,48,4,0,3,1,2,600,2,0,0.166467125,0.833532875,1
26,16,35,6,1,1,3,3,0.01,7,1,0.167347961,0.832652039,1
781,21,58,4,0,4,4,1,29673.4,2,1,0.167931104,0.832068896,1
264,18,43,6,1,2,13,3,0.01,5,1,0.169927117,0.830072883,1
1200,17,40,5,1,3,2,2,230,10,1,0.170117513,0.829882487,1
3570,15,31,6,1,4,4,2,100,1,1,0.178846112,0.821153888,1
1972,14,26,6,1,4,4,3,0.01,5,0,0.179733273,0.820266727,1
2674,21,59,6,1,1,3,2,4000,1,1,0.184078715,0.815921285,1
883,15,35,6,1,1,5,0,6000,3,1,0.185291101,0.814708899,1
574,16,37,5,1,1,3,3,0.01,5,1,0.188838866,0.811161134,1
3530,15,32,6,1,4,4,3,0.01,5,1,0.193361688,0.806638312,1
3559,19,54,6,1,1,5,0,6053.35,5,0,0.195237457,0.804762543,1
1308,15,33,4,1,1,12,3,0.01,8,1,0.195671722,0.804328278,1
1655,15,32,5,1,4,4,3,0.01,5,1,0.196611424,0.803388576,1
787,17,43,5,1,1,12,2,3026.67,6,1,0.198173188,0.801826812,1
795,16,38,4,1,1,3,2,3800,1,1,0.199173809,0.800826191,1
578,17,41,2,1,4,9,2,0.02,5,1,0.199294275,0.800705725,1
890,16,39,3,1,1,12,2,500,11,1,0.199855782,0.800144218,1
3035,18,46,3,1,2,13,3,0.01,8,1,0.201727235,0.798272765,1
92,22,59,2,2,4,9,0,10000,4,1,0.203603285,0.796396715,1
3523,16,39,2,1,4,4,0,6000,2,1,0.208295911,0.791704089,1
2384,16,37,2,1,4,4,3,0.01,8,1,0.208759364,0.791240636,1
714,19,47,4,2,1,5,3,0.01,8,1,0.209269485,0.790730515,1
2392,15,35,1,1,1,3,2,1500,9,1,0.210388507,0.789611493,1
2405,15,36,5,1,1,5,2,480,4,1,0.211111018,0.788888982,1
1940,16,40,6,1,1,3,3,0.01,5,1,0.212599186,0.787400814,1
1307,17,43,4,1,2,13,3,0.01,5,1,0.214723626,0.785276374,1
3620,13,28,5,1,0,0,2,1000,2,0,0.215226624,0.784773376,1
3529,15,29,5,2,4,4,3,0.01,5,1,0.218875335,0.781124665,1
271,16,34,3,2,5,10,2,1000,12,1,0.220313752,0.779686248,1
2187,15,36,5,1,2,13,3,0.01,8,1,0.225143022,0.774856978,1
3334,17,41,6,2,3,2,2,1000,9,1,0.225817393,0.774182607,1
251,15,35,2,1,4,4,2,1000,4,1,0.226253542,0.773746458,1
3011,14,31,0,1,1,11,2,1300,4,1,0.22654415,0.77345585,1
903,17,43,0,1,4,4,2,35,2,1,0.22660238,0.77339762,1
255,16,40,2,1,4,9,2,500.01,9,1,0.227519847,0.772480153,1
3759,12,22,1,1,4,4,2,960,4,1,0.231983889,0.768016111,1
8,15,37,5,1,4,4,2,3000,8,1,0.233106985,0.766893015,1
1812,15,35,3,1,4,4,3,0.01,4,1,0.233180628,0.766819372,1
3005,13,28,6,1,2,13,3,0.01,4,1,0.23436904,0.76563096,1
945,15,36,3,1,2,6,3,0.01,4,1,0.234410549,0.765589451,1
796,14,35,7,1,1,5,2,600,5,1,0.236168871,0.763831129,1
1986,16,41,2,1,4,9,2,100,8,1,0.238243563,0.761756437,1
2728,15,37,4,1,3,1,3,0.01,8,1,0.238700854,0.761299146,1
1666,18,45,1,2,4,4,0,12600,8,1,0.238991912,0.761008088,1
1462,18,44,3,2,4,4,3,0.01,8,0,0.240362493,0.759637507,1
987,18,54,5,1,2,8,0,6053.35,10,1,0.240924894,0.759075106,1
1592,17,39,2,2,4,4,3,0.01,4,1,0.243009294,0.756990706,1
3673,17,46,6,1,4,4,3,0.01,5,1,0.243056303,0.756943697,1
1626,12,28,6,1,1,12,0,6000,6,1,0.243220525,0.756779475,1
881,16,44,4,1,2,8,0,7500,3,1,0.243229858,0.756770142,1
2993,15,37,1,1,4,4,2,1500,8,1,0.246076784,0.753923216,1
2380,16,44,3,1,1,5,2,500,10,1,0.246920891,0.753079109,1
1032,16,43,4,1,4,9,0,11000,4,1,0.247004339,0.752995661,1
3133,15,41,5,1,2,8,0,6107.64,6,1,0.248266514,0.751733486,1
216,14,35,6,1,1,5,3,0.01,7,1,0.249032676,0.750967324,1
3768,18,54,6,1,1,5,2,970.92,9,1,0.249796497,0.750203503,1
2024,13,30,2,1,1,3,2,2000,5,1,0.250184669,0.749815331,1
2862,15,40,6,1,1,12,2,1000,4,0,0.250987154,0.749012846,1
414,13,28,2,1,4,4,3,0.01,7,1,0.251940595,0.748059405,1
3172,15,41,3,1,2,6,0,6105.33,8,1,0.252602579,0.747397421,1
1026,14,35,2,1,4,4,0,5400,4,1,0.253002238,0.746997762,1
604,16,43,3,1,4,4,2,3000,11,1,0.253496859,0.746503141,1
1115,16,44,3,1,5,10,2,2500,23,1,0.255712915,0.744287085,1
3822,15,33,2,2,4,4,2,600,8,1,0.255734702,0.744265298,1
3382,16,43,0,1,1,3,2,1500,4,1,0.256293015,0.743706985,1
3119,12,32,4,0,0,0,3,0.01,5,0,0.256430781,0.743569219,1
3000,20,62,6,1,2,13,2,1600,4,1,0.25718713,0.74281287,1
2309,14,33,3,1,4,4,3,0.01,4,1,0.258262831,0.741737169,1
1737,13,31,6,1,2,13,3,0.01,9,1,0.259429276,0.740570724,1
1226,12,27,3,1,4,4,0,5500,2,1,0.260497784,0.739502216,1
687,13,31,3,1,2,6,2,420,5,1,0.261110153,0.738889847,1
2736,13,33,6,1,0,0,2,62.11,2,1,0.261132936,0.738867064,1
3178,19,56,4,1,4,4,2,4000,1,1,0.261748708,0.738251292,1
3157,16,45,1,1,1,3,0,9000,2,1,0.261749485,0.738250515,1
128,15,34,3,2,3,7,2,480,4,1,0.263787281,0.736212719,1
1111,12,26,0,1,1,3,2,3000,3,1,0.266577426,0.733422574,1
1895,16,44,2,1,4,4,2,500.01,8,1,0.268561475,0.731438525,1
1875,11,24,4,1,4,9,0,6053.35,6,1,0.269665775,0.730334225,1
401,12,29,4,1,4,4,0,6000,9,1,0.269866884,0.730133116,1
533,14,35,2,1,2,8,3,0.01,8,1,0.270174181,0.729825819,1
2644,15,41,2,1,1,3,2,420.01,6,1,0.270259661,0.729740339,1
3063,15,44,5,0,4,4,1,21000,1,0,0.272594228,0.727405772,1
2223,13,34,4,1,1,12,2,384,16,1,0.272832074,0.727167926,1
2404,15,41,4,1,1,3,3,0.01,7,0,0.273450593,0.726549407,1
1802,15,45,2,0,4,4,2,2000,5,0,0.274914659,0.725085341,1
2144,12,35,6,0,4,4,0,6000,2,1,0.277795947,0.722204053,1
1064,13,31,4,1,4,4,3,0.01,5,1,0.279465101,0.720534899,1
2768,14,40,4,1,1,5,0,6107.64,7,0,0.28164928,0.71835072,1
3341,18,55,3,1,1,12,2,3000,7,0,0.281784172,0.718215828,1
3643,14,39,4,1,4,4,0,5900,8,1,0.28450939,0.71549061,1
2958,15,36,4,2,1,12,3,0.01,5,1,0.284988776,0.715011224,1
37,14,37,4,1,1,12,3,0.01,5,0,0.284997736,0.715002264,1
1739,13,35,6,1,2,8,2,1799.99,12,1,0.287117029,0.712882971,1
2883,14,32,3,2,1,12,2,1200,1,1,0.287532938,0.712467062,1
1555,16,41,4,2,1,3,3,0.01,4,1,0.288954975,0.711045025,1
711,12,29,4,1,1,3,3,0.01,5,1,0.290040778,0.709959222,1
901,17,46,6,2,1,12,3,0.01,4,0,0.291649574,0.708350426,1
2528,14,35,0,1,4,4,3,0.01,4,1,0.293120947,0.706879053,1
1118,11,25,3,1,1,12,2,900,3,1,0.293648566,0.706351434,1
29,16,51,4,0,4,4,3,0.01,5,1,0.295403956,0.704596044,1
2717,13,33,3,1,4,4,2,3276.91,6,1,0.296749518,0.703250482,1
1517,15,42,4,1,4,4,2,2000,1,1,0.299727814,0.700272186,1
1126,14,40,6,1,1,5,3,0.01,10,0,0.300977484,0.699022516,1
1103,18,50,2,2,4,4,2,50.01,5,1,0.30177629,0.69822371,1
568,10,27,6,0,1,12,3,0.01,5,0,0.302275583,0.697724417,1
3271,13,37,6,1,3,7,0,6053.34,6,1,0.302918892,0.697081108,1
2737,13,30,3,2,0,0,2,3000,3,0,0.304348901,0.695651099,1
2620,13,33,4,1,4,9,3,0.01,5,1,0.305161029,0.694838971,1
1600,12,30,4,1,2,8,3,0.01,5,0,0.309988699,0.690011301,1
586,12,32,6,1,1,5,2,480,1,1,0.31011055,0.68988945,1
3496,13,31,5,2,2,8,2,500.01,9,1,0.310180072,0.689819928,1
1717,12,30,2,1,4,4,2,10,6,1,0.312532428,0.687467572,1
