ID,DemAffl,DemAge,DemClusterGroup,DemGender,DemReg,DemTVReg,LoyalClass,LoyalSpend,LoyalTime,TargetBuy
17147654,5.0,,,,,,Tin,0.009999999999999998,5.0,0
8415498,15.0,,,M,,,Gold,8000.0,5.0,1
12107603,,,,M,Midlands,East,Tin,0.009999999999999998,,1
14400995,8.0,28.0,,F,,,Tin,0.009999999999999998,,1
28724674,14.0,67.0,,,,,Tin,0.009999999999999998,7.0,0
41251085,,65.0,,F,,,Silver,3000.0,3.0,0
43266179,7.0,41.0,,,,,Tin,0.009999999999999998,7.0,0
919551,13.0,50.0,,F,,,Tin,0.009999999999999998,5.0,1
2510294,8.0,36.0,,F,,,Tin,0.009999999999999998,9.0,0
3912957,,,,M,Midlands,Ulster,Silver,2000.0,1.0,0
7212720,,,B,F,,,Gold,6000.0,1.0,1
8332525,,,,F,Midlands,Ulster,Silver,5000.0,12.0,1
9117733,,,,U,South East,S & S East,Gold,18633.51,3.0,0
9344462,11.0,59.0,,U,,,Gold,12000.0,9.0,0
10315063,13.0,,B,,,,Gold,6000.0,2.0,0
16286049,,57.0,,,North,Yorkshire,Tin,0.009999999999999998,5.0,0
17046734,5.0,,,,Midlands,Ulster,Silver,0.019999999999999997,5.0,0
17126703,,54.0,,,Midlands,Ulster,Silver,5000.0,4.0,0
21076081,,71.0,B,,,,Gold,6000.0,26.0,0
27334880,,47.0,E,,,,Tin,0.009999999999999998,8.0,0
28760395,11.0,40.0,,F,,,Silver,3000.01,10.0,1
29548268,6.0,,D,,,,Tin,0.009999999999999998,7.0,0
31461863,9.0,,,F,Midlands,Ulster,Silver,3000.0,,1
31892031,17.0,52.0,,M,,,Silver,3000.0,9.0,1
31912709,,57.0,F,,,,Tin,0.009999999999999998,9.0,0
33017774,13.0,46.0,,F,,,Tin,0.009999999999999998,8.0,1
33050348,15.0,52.0,,F,,,Silver,2000.0,5.0,1
33050658,,,,M,Midlands,Ulster,Silver,300.0,11.0,0
35944583,9.0,,,,South East,London,Gold,6000.0,1.0,0
42645958,5.0,,,,Midlands,East,Gold,6053.349999999999,5.0,0
42789089,5.0,58.0,,F,,,Tin,0.009999999999999998,8.0,1
43948857,8.0,34.0,,M,,,Silver,3250.0,2.0,0
46532309,6.0,,,,South East,London,Tin,0.009999999999999998,8.0,0
26387,,72.0,,F,Midlands,Ulster,Silver,1250.0,23.0,1
1191357,9.0,,,U,Midlands,Wales & West,Silver,2000.0,4.0,0
1882015,,36.0,,M,Midlands,Ulster,Silver,4300.0,1.0,0
2988283,9.0,72.0,,M,South East,S & S East,Tin,0.009999999999999998,,0
3077632,,,F,F,Midlands,Wales & West,Silver,600.0,,1
3516822,8.0,,,M,Midlands,Ulster,Tin,0.009999999999999998,4.0,0
3648265,15.0,65.0,,F,North,Yorkshire,Platinum,25000.0,,1
3791270,8.0,60.0,E,,,,Silver,1000.0,5.0,0
3811859,7.0,61.0,,,Midlands,Ulster,Silver,4350.0,7.0,0
3841197,15.0,34.0,D,,,,Gold,9000.0,8.0,0
3901661,,59.0,F,M,,,Silver,1000.0,5.0,0
4052153,9.0,43.0,F,,,,Tin,0.009999999999999998,8.0,0
4098625,12.0,71.0,B,,,,Gold,18000.0,3.0,0
4167236,,54.0,,M,Midlands,Ulster,Silver,2000.0,1.0,0
4190335,8.0,61.0,,,Midlands,Ulster,Tin,0.009999999999999998,4.0,0
4396251,7.0,,B,M,,,Gold,6000.0,1.0,0
4425014,,61.0,,F,Midlands,Ulster,Gold,16052.66,7.0,0
5823323,8.0,66.0,F,,,,Gold,15000.0,13.0,0
5920191,,74.0,B,M,,,Gold,19215.21,1.0,0
6228690,9.0,66.0,B,,,,Gold,6000.0,2.0,0
6450598,,,F,,Midlands,East,Tin,0.009999999999999998,4.0,0
6534988,7.0,,B,F,,,Tin,0.009999999999999998,8.0,0
6783996,7.0,45.0,,,North,N West,Gold,6000.0,1.0,0
6822703,,,D,,South East,London,Tin,0.009999999999999998,8.0,0
6841120,9.0,,,F,Midlands,Ulster,Silver,50.0,10.0,0
6983081,7.0,,,F,North,N West,Tin,0.009999999999999998,9.0,0
7147570,7.0,49.0,B,,,,Silver,2.6599999999999997,13.0,0
7426496,9.0,71.0,C,,,,Gold,6000.0,1.0,0
8126658,10.0,,C,F,,,Gold,5300.0,2.0,0
8352666,4.0,43.0,,,South East,S & S East,Tin,0.009999999999999998,5.0,0
8374481,,41.0,F,F,,,Silver,1050.0,7.0,1
8895570,5.0,,,F,North,N West,Silver,100.01,8.0,0
9211098,7.0,,,F,South East,London,Silver,0.019999999999999997,8.0,0
9491031,7.0,60.0,F,,,,Tin,0.009999999999999998,4.0,0
9529438,10.0,,,F,Midlands,Ulster,Silver,2000.0,13.0,0
9530967,4.0,,,U,Midlands,Ulster,Gold,7500.0,5.0,0
